1,新世紀のラブソング,ASIAN KUNG-FU GENERATION,マジックディスク,0:5:14,https://i.scdn.co/image/ab67616d00001e02d275ea9845b512bb5726f8a5,https://open.spotify.com/track/4TbKZPrJsqBgfyX2syEy8e
2,E,ASIAN KUNG-FU GENERATION,君繋ファイブエム,0:4:12,https://i.scdn.co/image/ab67616d00001e024144799774b2e857c1040d0c,https://open.spotify.com/track/1DkybjuRycHNQKbDpCTcnO
3,24時,ASIAN KUNG-FU GENERATION,ソルファ,0:3:31,https://i.scdn.co/image/ab67616d00001e02f8dd23458921ec0c46801026,https://open.spotify.com/track/4EZnEUoKYVG5wfx5pF8Gb7
4,真夜中と真昼の夢,ASIAN KUNG-FU GENERATION,ソルファ,0:4:20,https://i.scdn.co/image/ab67616d00001e02f8dd23458921ec0c46801026,https://open.spotify.com/track/0U9qgW7Iw263gcvAAL6R2r
5,タイトロープ,ASIAN KUNG-FU GENERATION,ファンクラブ,0:5:28,https://i.scdn.co/image/ab67616d00001e02f28d3db8c19a509ba620d7b4,https://open.spotify.com/track/3L3NhXN0kV2yLVLE0CB2Qy
6,ネオテニー,ASIAN KUNG-FU GENERATION,ワールド ワールド ワールド,0:4:43,https://i.scdn.co/image/ab67616d00001e023bb7278a19431ccc51836546,https://open.spotify.com/track/6Z1T0pLRwg2y00UnXRORGk
7,或る街の群青,ASIAN KUNG-FU GENERATION,ワールド ワールド ワールド,0:4:16,https://i.scdn.co/image/ab67616d00001e023bb7278a19431ccc51836546,https://open.spotify.com/track/2sMf2FGk89v6BTJgKXGW1V
8,転がる岩、君に朝が降る,ASIAN KUNG-FU GENERATION,ワールド ワールド ワールド,0:4:37,https://i.scdn.co/image/ab67616d00001e023bb7278a19431ccc51836546,https://open.spotify.com/track/33cvF54sRDtyflQJJ4fjbb
9,さよならロストジェネレイション,ASIAN KUNG-FU GENERATION,マジックディスク,0:5:19,https://i.scdn.co/image/ab67616d00001e02d275ea9845b512bb5726f8a5,https://open.spotify.com/track/7rbLplcc7cvh0gYyJ0pfcv
10,架空生物のブルース,ASIAN KUNG-FU GENERATION,マジックディスク,0:4:18,https://i.scdn.co/image/ab67616d00001e02d275ea9845b512bb5726f8a5,https://open.spotify.com/track/0FelWZcgd4NcDNM0ETwZUq
11,ライジングサン,ASIAN KUNG-FU GENERATION,マジックディスク,0:4:17,https://i.scdn.co/image/ab67616d00001e02d275ea9845b512bb5726f8a5,https://open.spotify.com/track/6bGjLifUamUf1C1AEZZFKi
12,All right part2,"ASIAN KUNG-FU GENERATION, 橋本絵莉子",ランドマーク,0:3:34,https://i.scdn.co/image/ab67616d00001e0209d37f4bb12c1e55fc670638,https://open.spotify.com/track/4jnmxdLw1gld2Hr8EHiDxj
13,踵で愛を打ち鳴らせ,ASIAN KUNG-FU GENERATION,ランドマーク,0:4:25,https://i.scdn.co/image/ab67616d00001e0209d37f4bb12c1e55fc670638,https://open.spotify.com/track/2N3mCpPteeF3Y80skvVmV8
14,ムスタング (mix for 芽衣子),ASIAN KUNG-FU GENERATION,フィードバックファイル 2,0:5:7,https://i.scdn.co/image/ab67616d00001e02588d692f3f774f2468479784,https://open.spotify.com/track/1ShLI6nFosXd9nYXmhVLDv
15,夜を越えて,ASIAN KUNG-FU GENERATION,フィードバックファイル 2,0:4:40,https://i.scdn.co/image/ab67616d00001e02588d692f3f774f2468479784,https://open.spotify.com/track/5BfpzwyyTQuHAwu4xn9i6A
16,アネモネの咲く春に（2012 東京国際フォーラム）,ASIAN KUNG-FU GENERATION,フィードバックファイル 2,0:6:21,https://i.scdn.co/image/ab67616d00001e02588d692f3f774f2468479784,https://open.spotify.com/track/5LQB4UF3NqUKpRsj9dTka0
17,Wonder Future / ワンダーフューチャー,ASIAN KUNG-FU GENERATION,Wonder Future,0:4:14,https://i.scdn.co/image/ab67616d00001e025bf970c70d47889155418004,https://open.spotify.com/track/2qDR4gH9ZK7gdQXz9h2Jrr
